City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,9.29,86,95,0.45,AU,1697141578
1,ribeira grande,38.5167,-28.7,20.43,77,20,4.63,PT,1697141401
2,las heras,-46.5419,-68.9359,14.98,27,3,3.19,AR,1697141579
3,bredasdorp,-34.5322,20.0403,14.38,79,95,4.69,ZA,1697141579
4,xilin hot,43.9667,116.0333,7.28,72,100,1.95,CN,1697141579
5,lebowakgomo,-24.2,29.5,25.5,29,36,3.49,ZA,1697141579
6,la passe,45.5549,-0.8967,20.13,56,67,1.61,FR,1697141579
7,st. john's,47.5649,-52.7093,13.97,97,100,4.63,CA,1697141579
8,santa maria del oro,25.9333,-105.3667,27.49,33,0,5.61,MX,1697141579
9,bethel,41.3712,-73.414,21.68,46,0,1.54,US,1697141579
10,medicine hat,50.0501,-110.6683,14.77,46,65,3.12,CA,1697141461
11,pokhara,28.2333,83.9833,17.6,84,0,2.44,NP,1697141579
12,ploudalmezeau,48.5333,-4.65,18.29,100,100,5.66,FR,1697141579
13,utrik,11.2278,169.8474,27.69,77,34,4.75,MH,1697141579
14,gumel,12.6279,9.3912,32.56,23,79,3.44,NG,1697141579
15,thompson,55.7435,-97.8558,12.09,62,20,1.54,CA,1697141579
16,rio grande,-32.035,-52.0986,14.06,64,85,6.94,BR,1697141580
17,albany,42.6001,-73.9662,18.03,59,67,3.95,US,1697141404
18,waitangi,-43.9535,-176.5597,10.46,78,88,2.68,NZ,1697141580
19,grytviken,-54.2811,-36.5092,-2.11,92,100,0.59,GS,1697141580
20,edinburgh of the seven seas,-37.0676,-12.3116,12.98,78,29,4.0,SH,1697141580
21,whitehorse,60.7161,-135.0538,5.05,76,100,4.63,CA,1697141031
22,krasnozerskoye,53.9828,79.2374,6.67,66,100,3.35,RU,1697141580
23,brisas de zicatela,15.8369,-97.0419,31.29,55,40,3.6,MX,1697141580
24,konstantinovka,49.6167,127.9833,9.78,54,5,4.44,RU,1697141580
25,jamestown,42.097,-79.2353,15.77,62,75,4.63,US,1697141519
26,tiksi,71.6872,128.8694,-5.07,96,100,4.66,RU,1697141580
27,udachny,66.4167,112.4,-6.97,85,54,4.18,RU,1697141580
28,sisimiut,66.9395,-53.6735,-0.01,61,100,1.55,GL,1697141580
